  443.994 4126.4  208.107 
  445.994 4130.9  208.381 
  447.994 4135.4  208.640 
  449.994 4139.8  208.886 
  451.994 4144.2  209.118 
  453.994 4148.6  209.336 
  455.994 4153.0  209.543 
  457.994 4157.3  209.738 
  459.994 4161.6  209.921 
  461.994 4165.9  210.094 
  463.994 4170.2  210.256 
  465.994 4174.5  210.410 
  467.994 4178.7  210.553 
  469.994 4182.9  210.689 
  471.994 4187.1  210.816 
  473.994 4191.2  210.935 
  475.994 4195.4  211.047 
  477.994 4199.5  211.151 
  479.994 4203.6  211.249 
  481.994 4207.7  211.340 
  483.994 4211.7  211.426 
  485.994 4215.8  211.508 
  487.994 4219.8  211.583 
  489.993 4223.7  211.656 
  491.993 4227.7  211.722 
  493.993 4231.6  211.786 
  495.993 4235.6  211.845 
  497.993 4239.5  211.901 
  499.993 4243.3  211.953 
  501.993 4247.2  212.001 
  503.993 4251.0  212.045 
  505.993 4254.9  212.085 
  507.993 4258.7  212.121 
  509.993 4262.5  212.153 
  511.993 4266.2  212.181 
  513.993 4270.0  212.204 
  515.993 4273.8  212.223 
  517.993 4277.5  212.236 
  519.993 4281.3  212.245 
  521.993 4285.1  212.246 
  523.993 4288.9  212.242 
  525.993 4292.6  212.231 
  527.993 4296.4  212.214 
  529.993 4300.2  212.191 

