  421.995 1.5134  0.8700 
  423.995 1.5181  0.8667 
  425.995 1.5216  0.8653 
  427.994 1.5250  0.8641 
  429.994 1.5284  0.8628 
  431.994 1.5316  0.8616 
  433.994 1.5344  0.8606 
  435.994 1.5367  0.8598 
  437.994 1.5387  0.8592 
  439.994 1.5404  0.8589 
  441.994 1.5418  0.8591 
  443.994 1.5435  0.8589 
  445.994 1.5458  0.8581 
  447.994 1.5485  0.8567 
  449.994 1.5514  0.8550 
  451.994 1.5543  0.8533 
  453.994 1.5570  0.8517 
  455.994 1.5591  0.8508 
  457.994 1.5606  0.8503 
  459.994 1.5622  0.8498 
  461.994 1.5640  0.8487 
  463.994 1.5662  0.8472 
  465.994 1.5688  0.8453 
  467.994 1.5716  0.8432 
  469.994 1.5745  0.8409 
  471.994 1.5772  0.8388 
  473.994 1.5794  0.8370 
  475.994 1.5814  0.8351 
  477.994 1.5835  0.8328 
  479.994 1.5856  0.8302 
  481.994 1.5878  0.8272 
  483.994 1.5902  0.8236 
  485.994 1.5932  0.8193 
  487.994 1.5964  0.8144 
  489.993 1.5997  0.8092 
  491.993 1.6026  0.8042 
  493.993 1.6053  0.7994 
  495.993 1.6078  0.7951 
  497.993 1.6101  0.7913 
  499.993 1.6121  0.7882 
  501.993 1.6143  0.7853 
  503.993 1.6166  0.7823 
  505.993 1.6190  0.7792 
  507.993 1.6212  0.7764 
  509.993 1.6227  0.7746 
  511.993 1.6233  0.7742 
  513.993 1.6228  0.7755 
  515.993 1.6214  0.7787 
  517.993 1.6193  0.7831 
  519.993 1.6165  0.7890 
  521.993 1.6136  0.7956 
  523.993 1.6108  0.8026 
  525.993 1.6086  0.8095 
  527.993 1.6077  0.8150 
  529.993 1.6088  0.8182 
